horse_name,section,show_class,show,rider,place,entries,points
Horse: Havanta Cassini        #18603   ,Children's Jumper,$500 Childrens Jumper 1.10m 340.c,World Equestrian Ocala Winter Spectacular #3,Eliot J. Schmitt,3,20,6
Horse: Haydn        #16607   ,High Jr/AO Jumper,$1500 High Jr/Am/AO 1.40m/1.45m 339.a,World Equestrian Ocala Winter Spectacular #9,Shelly Zimmerli,4,4,5
Horse: HC Eli        #16010   ,Low Adult Jumper,$500 Low Adult Jumper Classic 1.00m 2.2b,World Equestrian Center Winter Classic #19,Celine Afshari,2,10,7
Horse: He's Blue        #19236   ,USHJA/NSBA 3' Hunter,NSBA Hunter 3',World Equestrian Ocala Winter Spectacular #5,Heather M. Steinman,5,28,4
Horse: He's Her Man        #17972   ,Intermediate Adult Hunter,$100 Intermediate Adult Hunter,World Equestrian Ocala Winter Spectacular #9,Angie Calkins,4,19,5
Horse: Hear My Thunder        #19515   ,Short Stirrup Hunter,Short Stirrup Hunter U/S,World Equestrian Ocala Winter Spectacular #6,Gabrielle Boveda,5,12,4
Horse: Heartbreaker FF        #17949   ,Baby Green Hunter,"Baby Green Hunter 2'6""",World Equestrian Ocala Winter Spectacular #2,Jake Parker Wymard,4,16,5
Horse: Heartbreaker FF        #17292   ,Baby Green Hunter,"Baby Green Hunter 2'6""",World Equestrian Ocala Winter Spectacular #1,Jake Parker Wymard,1,11,10
Horse: Heartfelt        #17209   ,USHJA/NSBA 2' Hunter,NSBA Hunter 2',World Equestrian Ocala Winter Spectacular #3,Kate Munch,1,9,8
Horse: Heartfelt        #21610   ,Future Hunter,"Future Hunter 1'6""-2'",World Equestrian Ocala Winter Spectacular #11,Kate Munch,3,10,6
Horse: Heartfelt        #19735   ,Adult Hunter 36 and over,$200 Adult Amateur Hunter 50+,World Equestrian Ocala Winter Spectacular #6,Maureen Wurzel,6,12,3
Horse: Heartfelt        #19214   ,Adult Hunter 36 and over,$200 Adult Amateur Hunter 50+,World Equestrian Ocala Winter Spectacular #7,Maureen Wurzel,8,13,1
Horse: Hearthstone        #21104   ,"USHJA/NSBA 2'9""","NSBA Hunter 2'9""",World Equestrian Ocala Winter Spectacular #9,Lydie Spear,8,27,1
Horse: Heartly        #15564   ,Adult Hunter 18-35,$200 Adult Amateur Hunter 18-35,World Equestrian Ocala Winter Spectacular #4,Elise Sigety,6,15,3
Horse: Heartrock        #22332   ,Intermediate Children's/Adult Jumper,Intermediate Children's/Adult Jumper .80m 2.2b,World Equestrian Center Winter Classic #17,Libby Myers,6,15,3
Horse: Heathrow        #20308   ,Adult Jumper,$500 Adult Amateur Jumper 1.10m 339.a,World Equestrian Ocala Winter Spectacular #7,Greer Fogle,6,17,3
Horse: Heaven Sent        #22409   ,Intermediate Children's Hunter,"Intermediate Children's Hunter 2'6""",World Equestrian Center Winter Classic #18,Ruby Darmanin,6,24,3
Horse: Heaven Sent        #22108   ,"USHJA/NSBA 2'6"" Hunter","NSBA Hunter 2'6""",World Equestrian Ocala Winter Spectacular #12,Clair L. Kellner,1,37,10
Horse: Heaven's Dance        #14278   ,WEC Pony Derby,$2500 WEC Pony Hunter Derby,World Equestrian Ocala Winter Spectacular #7,Taylor Tracy,2,9,7
Horse: Heavenly Patch Of Blue        #22516   ,Small Pony Hunter,"$300 Small Pony Conf 2'3""",World Equestrian Center Winter Classic #19,Ava Barnes,3,3,6
Horse: Heidi        #19545   ,"USHJA/NSBA 2'9""","NSBA Hunter 2'9"" U/S (California Split)",World Equestrian Ocala Winter Spectacular #6,Claire Jungman,4,28,5
Horse: Heidi        #20417   ,Limit/Long Stirrup Hunter,Long Stirrup Hunter U/S,World Equestrian Ocala Winter Spectacular #7,Tia Senenfelder,3,19,6
Horse: Hela        #17989   ,"USHJA/NSBA 2'9""","NSBA Hunter 2'9"" U/S",World Equestrian Ocala Winter Spectacular #2,Kristen Cox,2,11,7
Horse: Helios        #14401   ,1.20m Jumper,$500 1.20 Meter Jumper 340.c,World Equestrian Ocala Winter Spectacular #2,Sharn L. Wordley,7,29,2
Horse: Helios Prime        #21559   ,1.45m Jumper,$12500 1.45m Jumper Classic 340.c,World Equestrian Ocala Winter Spectacular #10,Tom Foley,6,14,3
Horse: Helios Prime        #22170   ,1.20m Jumper,$500 1.20 Meter Jumper - No Nomination Fee 340.c,World Equestrian Ocala Winter Spectacular #12,Tom Foley,1,20,10
Horse: Helios Prime        #21298   ,1.20m Jumper,$500 1.20 Meter Jumper 340.c,World Equestrian Ocala Winter Spectacular #9,Tom Foley,5,21,4
Horse: Hella Good        #13705   ,Low Adult Jumper,$200 Low Adult Jumper 1.00m 339.a,World Equestrian Ocala Winter Spectacular #2,Lindsey Mcnally,4,22,5
Horse: Helsa        #17414   ,Low Adult Jumper,$200 Low Adult Jumper 1.00m 339.a,World Equestrian Ocala Winter Spectacular #1,Gayle K. Cox,4,13,5
Horse: Hemerald Balia        #18193   ,Open Jumper by Points,"$20,000 Welcome Prix 1.45m 340.c",World Equestrian Ocala Winter Spectacular #2,Ramiro Quintana,5,22,4
Horse: Hemingway        #16083   ,"Amateur Owner Hunter 3'6"" 36 and over","$400 Amateur Owner Handy Hunter 3'6""",World Equestrian Ocala Winter Spectacular #9,Astra Wallace,4,7,5
Horse: Hendrik        #15400   ,Open Jumper by Points,$7500 Futures Prix 1.30m 2.2b,World Equestrian Center Winter Classic #17,David Q. Beisel,6,10,3
Horse: Henrick Ees        #22117   ,Baby Green Hunter,"Baby Green Hunter 2'6""",World Equestrian Ocala Winter Spectacular #12,Eliza Hay,6,14,3
Horse: Henrik        #16171   ,"Performance Hunter 3'3""","$300 Performance Hunter 3'3""",World Equestrian Center Winter Classic #18,Holly A. Kalso,4,10,5
Horse: Henry        #21615   ,Adult Hunter 18-35,$200 Adult Amateur Hunter 18-35 (1st round Class,World Equestrian Ocala Winter Spectacular #11,Lucy Heaton,4,22,5
Horse: Henwen        #18910   ,.65m Jumper Open,$100 .65m Jumper 340.c,World Equestrian Ocala Winter Spectacular #5,Meaghan Kursman,8,16,1
Horse: Hera        #18836   ,Adult Hunter 18-35,$200 Adult Amateur Hunter 18-35 (1st round Class,World Equestrian Ocala Winter Spectacular #4,Olivianne Mardis,7,15,2
Horse: Hercules        #20562   ,"Junior Hunter 3'3"" 16-17","$300 Junior Hunter 3'3"" 16-17",World Equestrian Ocala Winter Spectacular #8,Madeline Murch,8,11,1
Horse: Here's For Hoping        #21072   ,Thoroughbred Hunter,Thoroughbred Hunter,World Equestrian Ocala Winter Spectacular #9,Cassandra McCowan,4,4,5
Horse: Herewego        #21861   ,USHJA/NSBA 2' Hunter,NSBA Hunter 2',World Equestrian Ocala Winter Spectacular #12,Kerry O'Donnell,1,24,10
Horse: Hero        #11862   ,WEC 3'/National Derby - Open,$15000 WEC Derby 3' - Non Pro,World Equestrian Ocala Winter Spectacular #4,Alliy M. Moyer,2,20,7
Horse: Hero Van De Heffinck        #18936   ,Low Adult Jumper,$200 Low Adult Jumper 1.00m 339.a,World Equestrian Ocala Winter Spectacular #4,Ken Harbour,2,32,7
Horse: Herolov De Wy        #22628   ,Low Jr/AO Jumper,$400 Low Jr/Amateur Owner Jumper 1.20m/1.25m 2.1,World Equestrian Center Winter Classic #19,Ava Le,4,13,5
Horse: HEROLOV DE WY        #16646   ,Low Jr/AO Jumper,$5000 Low Jr/Am/Am Own Classic 1.20m 340.c,World Equestrian Ocala Winter Spectacular #1,Tiffany Lee,10,32,0
Horse: Herolov De Wy        #18302   ,Low Jr/AO Jumper,$1000 Low Jr/Am/AO Jumper 1.20m 339.a,World Equestrian Ocala Winter Spectacular #2,Ava Le,6,44,3
Horse: Heros de Bun        #19320   ,Children's Jumper,$500 Childrens Jumper 1.10m 340.c,World Equestrian Ocala Winter Spectacular #5,Malia Spencer,7,14,2
Horse: Hes A Dream Weaver        #17254   ,Baby Green Hunter,"Baby Green Hunter 2'6""",World Equestrian Ocala Winter Spectacular #1,Lindsy Behrend,4,11,5
Horse: Hey Jesse        #20726   ,Low Adult Jumper,$200 Low Adult Jumper 1.00m 339.a,World Equestrian Ocala Winter Spectacular #8,Allison Amel Stabley,2,29,7
Horse: Hey Sailor        #16932   ,Intermediate Children's Hunter,$50 Intermediate Children's Hunter U/S,World Equestrian Ocala Winter Spectacular #7,Lulu Semple,6,24,3
Horse: Heza Hustlin Hunter        #22132   ,.65m Jumper Open,$100 .65m Jumper 343.b,World Equestrian Ocala Winter Spectacular #12,Kathryn Deitsch,5,19,4
Horse: HF Sophie        #13993   ,Medium Pony Hunter,$100 Pony Hunter U/S,World Equestrian Ocala Winter Spectacular #10,Louisa Rehme,3,6,6
Horse: Hh Chesare        #18563   ,Intermediate Children's Hunter,$100 Intermediate Children's Hunter (first round,World Equestrian Ocala Winter Spectacular #10,Ashley Greene,3,15,6
Horse: HH Gabriel        #10956   ,Intermediate Adult Hunter,$50 Intermediate Adult Hunter U/S,World Equestrian Ocala Winter Spectacular #5,Kathy Clark,8,29,1
Horse: Hi Fidelity        #21232   ,Short Stirrup Hunter,Short Stirrup Hunter,World Equestrian Ocala Winter Spectacular #9,Sophia Kendrick,6,11,3
Horse: Hickory Hbc        #18999   ,1.25m Jumper,$600 1.25 Meter Jumper 340.c,World Equestrian Ocala Winter Spectacular #4,Justine L. Dutton,3,46,6
Horse: Hickory Hbc        #22179   ,1.35m Jumper,$1000 1.35 Meter Jumper 340.c,World Equestrian Ocala Winter Spectacular #12,Justine L. Dutton,6,21,3
Horse: Hickory Hbc        #20963   ,1.30m Jumper,$1000 1.30 Meter Jumper 340.c,World Equestrian Ocala Winter Spectacular #8,Justine L. Dutton,11,51,0
Horse: Hickory Hbc        #21541   ,1.30m Jumper,$1000 1.30 Meter Jumper 340.c,World Equestrian Ocala Winter Spectacular #10,Justine L. Dutton,4,12,5
Horse: Hickory Hbc        #21791   ,1.35m Jumper,$1000 1.35 Meter Jumper 340.c,World Equestrian Ocala Winter Spectacular #11,Justine L. Dutton,6,19,3
Horse: Hickory Hbc        #19853   ,1.30m Jumper,$1000 1.30 Meter Jumper 339.a,World Equestrian Ocala Winter Spectacular #6,Justine L. Dutton,2,11,7
Horse: Hidden Creek's Valiant        #15397   ,"Performance Hunter 3'3""","$150 Performance Hunter 3'3"" U/S",World Equestrian Ocala Winter Spectacular #6,Rebecca Gibson,5,6,4
Horse: Hidden In Plain Sight        #18083   ,Low Adult Jumper,$750 Low Adult Jumper Classic 1.00m 340.c,World Equestrian Ocala Winter Spectacular #2,M Peabody Kohler,3,24,6
Horse: Hidden Springs Armani        #19706   ,Large Pony Hunter,Large Pony Hunter Model,World Equestrian Ocala Winter Spectacular #6,Avery Craven,6,9,1.5
Horse: Hidden Springs Kashmir        #17851   ,Medium Pony Hunter,Small/Medium Pony Hunter Model,World Equestrian Ocala Winter Spectacular #2,Kaelyn Falk,4,6,2.5
Horse: Hidden Springs Star Attraction        #18471   ,Children's Pony Hunter Sm/Med,$100 Children's Pony Hunter Sm/Med 2',World Equestrian Ocala Winter Spectacular #3,Zoie Davis,5,9,4
Horse: Higgs        #17830   ,"Performance Hunter 3'3""","$350 Performance Hunter 3'3""",World Equestrian Ocala Winter Spectacular #2,Gentry Beresford,7,25,2
Horse: High Cotton        #17950   ,"USHJA/NSBA 2'6"" Hunter","NSBA Hunter 2'6"" (California Split)",World Equestrian Ocala Winter Spectacular #2,,3,57,6
Horse: High Five        #14016   ,"Performance Hunter 3'6""","$200 Performance Hunter 3'6"" U/S",World Equestrian Center Winter Classic #18,Holly A. Kalso,1,4,8
Horse: High Honors        #17302   ,Intermediate Children's Hunter,$100 Intermediate Children's Hunter,World Equestrian Ocala Winter Spectacular #1,Chloe Butler,6,10,3
Horse: High Hopes        #16815   ,Children's Hunter 15-17,$100 Children's Hunter 15-17 U/S,World Equestrian Center Winter Classic #19,Sydney E. Oldham,8,13,1
Horse: High jack        #19829   ,Adult Jumper,$500 Adult Amateur Jumper 1.10m 340.c,World Equestrian Ocala Winter Spectacular #6,Mackenzie Suffy,5,29,4
Horse: High JINX        #19354   ,1.20m Jumper,$500 1.20 Meter Jumper 340.c,World Equestrian Ocala Winter Spectacular #5,India Anderson,5,61,4
Horse: High JINX        #19840   ,1.20m Jumper,$500 1.20 Meter Jumper - No Nomination Fee 340.c,World Equestrian Ocala Winter Spectacular #6,India Anderson,6,48,3
Horse: High Life        #10960   ,"WEC 3'6""-3'9"" Derby","$20000 WEC Hunter Derby 3'6""-3'9""",World Equestrian Ocala Winter Spectacular #3,Danielle Grice,4,19,5
Horse: High Note        #14070   ,Limit/Long Stirrup Hunter,Long Stirrup Hunter U/S,World Equestrian Ocala Winter Spectacular #4,Mia Boer,6,16,3
Horse: High Renaissance        #17787   ,Green Hunter 3',"$350 Green Hunter 3'0""",World Equestrian Ocala Winter Spectacular #2,Elizabeth D. Blaisdell,7,28,2
Horse: High Society        #15518   ,Adult Hunter 18-35,$100 Adult Amateur Hunter U/S,World Equestrian Center Winter Classic #17,Olivia Barkell,6,11,3
Horse: High Street        #17269   ,Adult Hunter 36 and over,$200 Adult Hunter 36-49,World Equestrian Ocala Winter Spectacular #2,Callie G. Kelly,5,6,4
Horse: High Tide        #17219   ,Adult Hunter 18-35,$200 Adult Amateur Hunter 18-35,World Equestrian Ocala Winter Spectacular #1,Patience Chesnutt,2,9,7
Horse: High Tide        #19277   ,.65m Jumper Open,$100 .65m Jumper 343.b,World Equestrian Ocala Winter Spectacular #5,Lauren Ratliff,6,10,3
Horse: Highdell Eclipse        #17387   ,Novice Children's/Adult Jumper,$500 Novice Adult Classic .90-.95m 340.c,World Equestrian Ocala Winter Spectacular #1,Elizabeth T. Phillips,5,20,4
Horse: Highfive        #17433   ,Adult Jumper,$500 Adult Amateur Jumper 1.10m 340.c,World Equestrian Ocala Winter Spectacular #1,Chloe Murt,5,22,4
Horse: Highland Rose        #17338   ,Novice Children's/Adult Jumper,$150 Novice Children's Jumper .90-.95m 340.c,World Equestrian Ocala Winter Spectacular #1,Emma Loesel,6,19,3
Horse: Highlife        #22227   ,"Green Hunter 3'6""","$400 Green Hunter 3'6""",World Equestrian Center Winter Classic #17,Abigail Dvorak-Peat,3,4,6
Horse: Highlife's Levi        #21132   ,.65m Jumper Open,$100 .65m Jumper 340.c,World Equestrian Ocala Winter Spectacular #9,Aidan Murphy,1,15,10
Horse: Highlighter        #19498   ,"Performance Hunter 3'3""","$350 Performance Hunter 3'3""",World Equestrian Ocala Winter Spectacular #6,Jennifer Jones,6,53,3
Horse: Highway Robbery        #18914   ,Novice Children's/Adult Jumper,$150 Novice Children's Jumper .90-.95m 340.c,World Equestrian Ocala Winter Spectacular #4,Ella Prida,8,18,1
Horse: Highwinds Delightful        #20106   ,Short Stirrup Hunter,Short Stirrup Hunter U/S,World Equestrian Ocala Winter Spectacular #7,Eden Wolfe,5,12,4
Horse: Hilfiger Z        #16610   ,"Performance Hunter 3'3""","$300 Performance Hunter 3'3""",World Equestrian Center Winter Classic #17,Jennifer Murray,6,13,3
Horse: Hillcrest Red and Blue        #22669   ,Short Stirrup Hunter,Opportunity Short Stirrup Hunter 2' (11 & under),World Equestrian Center Winter Classic #19,Emilia Effner,5,10,4
Horse: Hip Pop        #14792   ,USHJA/NSBA 3' Hunter,USHJA Hunter 3' (California Split),World Equestrian Center Winter Classic #19,Jeff J. Gogul,1,27,10
Horse: Hirette KR        #15893   ,Medium Jr/AO Jumper,$1000 Medium Jr/Am/AO 1.30m/1.35m 340.c,World Equestrian Ocala Winter Spectacular #8,Amy Lee,3,24,6
Horse: Histoire De Laubry        #18719   ,Adult Jumper,$500 Adult Amateur Jumper 1.10m 340.c,World Equestrian Ocala Winter Spectacular #3,Melanie Markham,4,9,5
Horse: Hitbound        #16377   ,Novice Children's/Adult Jumper,Novice Children's/Adult Jumper .90-.95m 2.2b,World Equestrian Center Winter Classic #18,Angela Fisher,6,26,3
Horse: HJ Blind Date        #19288   ,1.20m Jumper,$500 1.20 Meter Jumper 2.2b,World Equestrian Center Winter Classic #19,Molly Kindness,4,5,5
Horse: HJ Dudinka        #18589   ,Novice Children's/Adult Jumper,$500 Novice Adult Classic .90-.95m 340.c,World Equestrian Ocala Winter Spectacular #3,Maureen Pontius,8,19,1
Horse: HJ ELTON        #19395   ,1.30m Jumper,$1000 1.30 Meter Jumper 343.b,World Equestrian Ocala Winter Spectacular #5,Juan M. Bolanos,5,28,4
Horse: HJ ELTON        #19006   ,1.25m Jumper,$600 1.25 Meter Jumper 340.c,World Equestrian Ocala Winter Spectacular #4,Juan M. Bolanos,6,17,3
Horse: HJ Fireproof        #17616   ,Medium Jr/AO Jumper,$1000 Med Jr/Am/Am Own 1.30m/1.35m 340.c,World Equestrian Ocala Winter Spectacular #1,Marissa Creviston,6,10,3
Horse: HJ Hercules        #18154   ,1.20m Jumper,$500 1.20 Meter 339.a,World Equestrian Ocala Winter Spectacular #2,Holly Shepherd,11,46,0
Horse: HJ Pinot Noir        #19276   ,.65m Jumper Open,$100 .65m Jumper 343.b,World Equestrian Ocala Winter Spectacular #5,Maya Simmons,5,10,4
Horse: HJ Swingtime        #18224   ,1.40m Jumper,$1500 1.40 Meter Jumper 339.a,World Equestrian Ocala Winter Spectacular #3,Holly Shepherd,8,9,1
Horse: Hm Beaulieu        #20561   ,"Junior Hunter 3'3"" 16-17","$300 Junior Hunter 3'3"" 16-17",World Equestrian Ocala Winter Spectacular #8,Georgia Rivero,5,11,4
Horse: Hold On Tight Ii        #18723   ,Low Jr/AO Jumper,$1000 Low Jr/Am/AO Jumper 1.25 339.a,World Equestrian Ocala Winter Spectacular #3,Anissa Jessee,7,25,2
Horse: Hold On Tight Ii        #21314   ,Children's Jumper,$500 Childrens Jumper 1.10m 339.a,World Equestrian Ocala Winter Spectacular #9,Anissa Jessee,8,9,1
Horse: Holly F        #17736   ,Low Adult Jumper,$750 Low Adult Jumper Classic 1.00m 340.c,World Equestrian Ocala Winter Spectacular #12,Madeline Macneill,8,26,1
Horse: Hollywood        #14903   ,"Performance Hunter 3'6""","$400 Performance Hunter 3'6""",World Equestrian Ocala Winter Spectacular #6,Karen Cudmore,9,15,0
Horse: Holy Hill        #14217   ,"WEC Hunter 3'3""","WEC Hunter 3'3""",World Equestrian Ocala Winter Spectacular #8,Tameron Petersen,4,14,5
Horse: Honestly        #21591   ,"Young Hunter 2'9""-3'-3'3""",Young Hunter U/S,World Equestrian Ocala Winter Spectacular #11,Scheherazade Schultz,6,9,3
Horse: Honey Girl        #15601   ,Open Jumper by Money Won,$7500 Futures Prix 1.30m,World Equestrian Center Winter Classic #5,Kyle Perkovich,6,18,600
Horse: Honeycrisp        #20020   ,Future Hunter,"Future Hunter 1'6""-2'",World Equestrian Ocala Winter Spectacular #7,Amber Panichi,3,11,6
Horse: Honfleur        #17720   ,1.35m Jumper,$1000 1.35 Meter Jumper 340.c,World Equestrian Ocala Winter Spectacular #1,Clark Montgomery,6,15,3
Horse: Honor        #21632   ,Future Hunter,Future Hunter U/S,World Equestrian Ocala Winter Spectacular #11,Kelsey Donahoe,8,15,1
Horse: Honor Roll        #20877   ,Children's Pony Hunter Large,"$100 Children's Pony Hunter Large 2'6""",World Equestrian Ocala Winter Spectacular #8,Olivia Loheac,2,9,7
Horse: Honore De Mariposa        #17022   ,Low Adult Jumper,Low Adult Jumper 1.00m 2.2d,World Equestrian Center Winter Classic #18,Shelby Easterwood,5,15,4
Horse: Hoover        #18137   ,Adult Jumper,$2500 Adult Amateur Jumper Classic 1.10m 340.c,World Equestrian Ocala Winter Spectacular #2,Candice King,1,23,10
Horse: Hope        #17327   ,Novice Children's/Adult Jumper,$150 Novice Adult Jumper .90-.95m 340.c,World Equestrian Ocala Winter Spectacular #3,Skyler Walker,2,21,7
Horse: Hope        #18913   ,Novice Children's/Adult Jumper,$500 Novice Adult Jumper Classic .90-.95m 340.c,World Equestrian Ocala Winter Spectacular #4,Skyler Walker,7,17,2
Horse: Hopscotch        #15275   ,"Performance Hunter 3'3""","$350 Performance Handy Hunter 3'3""",World Equestrian Ocala Winter Spectacular #6,Kate Mills,5,50,4
Horse: Horatio        #12907   ,Low Adult Jumper,Low Adult Jumper 1.00m 2.2d,World Equestrian Center Winter Classic #19,Jennifer A. Daulton,8,12,1
Horse: Hot Wheels        #17689   ,Novice Children's/Adult Jumper,$150 Novice Adult Jumper .90-.95m 343.b,World Equestrian Ocala Winter Spectacular #1,Claire Dicarlo,8,19,1
Horse: Hot Wheels        #20405   ,Children's Pony Hunter Sm/Med,$100 Children's Pony Hunter Sm/Med 2',World Equestrian Ocala Winter Spectacular #7,Seaton Edmonds,4,5,5
Horse: Hot Wheels        #21495   ,Children's Pony Hunter Sm/Med,$100 Children's Pony Hunter,World Equestrian Ocala Winter Spectacular #10,Seaton Edmonds,6,8,3
Horse: Hot Wheels        #19719   ,Children's Pony Hunter Sm/Med,$100 Children's Pony Hunter Sm/Med 2',World Equestrian Ocala Winter Spectacular #6,Seaton Edmonds,6,12,3
Horse: Hotline Bling        #17861   ,Children's Hunter 15-17,$200 Children's Hunter 15-17,World Equestrian Ocala Winter Spectacular #2,John Gilpin,3,13,6
